Latitude,Longitude,LeadLevel,Time,SalesPrice,LoanAmount,CensusBlockLeadMean,InServiceLine,DistToBoundary,ExpectedLead_025km,ExpectedLead_400km
43.000736,-83.739603,0.029023463,6427,0,0,0.003,0,389.1247372,0.117638298,0.029659234
43.000871,-83.737486,0.030093984,6401,16000,16000,0.420384615,1,178.5389913,0.064134831,0.029650318
43.000871,-83.737486,0.030093984,6401,16000,16000,0.420384615,1,178.5389913,0.064134831,0.029650318
43.00017,-83.75343,0.023335377,6574,0,0,0,0,3297.231979,0.0015,0.02963744
43.023806,-83.766146,0.016485447,6306,0,0,0,0,6423.013763,0,0.029629616
42.997893,-83.737619,0.03242444,6323,20000,20000,0.003190476,1,104.9450058,0.015459854,0.029508073
43.000064,-83.736657,0.021583715,6412,12147,12147,0.002592593,1,389.8511753,0.054669065,0.029483204
42.997069,-83.737617,0.030712326,6421,0,0,0.00125,1,94.95446058,0.01875969,0.029375019
43.019269,-83.76068,0.021009851,6615,68000,68000,0,0,5700.782685,0,0.0293625
43.004793,-83.739107,0.029763549,6365,0,0,0.0075,1,456.0523772,0.018630435,0.029348456
42.997528,-83.748272,0.028779326,6425,0,0,0,0,2568.79972,0.024,0.029306209
42.995956,-83.735886,0.023888572,6420,0,0,0.002230769,1,229.5029632,0.016435644,0.029172012
42.998169,-83.746619,0.03158382,6461,31000,31000,0,0,2097.684717,0.000666667,0.029098472
42.999213,-83.737535,0.030390258,6426,15500,15500,0.003371429,1,144.2621827,0.05476087,0.029053355
42.995214,-83.655452,0.010957225,6071,14000,14000,0.000461538,1,2259.974199,0.005,0.029041667
43.049593,-83.754011,0.024996684,6344,0,0,5.00E-04,0,5145.136957,0.001,0.029025286
43.00586,-83.73934,0.02893137,6379,0,0,0.0265,1,310.071028,0.022190476,0.029023319
43.017632,-83.744039,0.071090478,6450,32000,32000,4.00E-04,0,2039.677733,0,0.028959938
43.021206,-83.73641,0.025582918,6412,4000,4000,0.004,0,1116.639248,0.000625,0.028890171
43.017761,-83.758074,0.021816892,6539,700,700,0,0,5466.386078,0.001333333,0.028774221
42.998177,-83.746281,0.031763341,6484,4100,4100,0,0,2037.996639,0.000666667,0.028744938
42.995951,-83.736038,0.021590607,6463,0,0,0.002230769,1,225.8155434,0.016284314,0.028708321
43.028187,-83.755797,0.022413522,6560,56000,56000,0.004,0,3502.172104,0,0.028628779
43.054089,-83.755641,0.022382421,6716,0,0,5.00E-04,0,4911.434379,0.001,0.0285953
43.054089,-83.755641,0.022382421,6552,0,0,5.00E-04,0,4911.434379,0.001,0.0285953
43.024554,-83.749987,0.026248608,6610,0,0,0,0,2255.738114,0,0.028593056
43.011729,-83.747293,0.031679939,6484,53600,53600,0,0,2075.93887,0,0.028577035
43.005465,-83.741198,0.032326985,6481,0,0,0.01,0,143.3006058,0.026307692,0.028347985
43.003529,-83.73912,0.028157039,6463,0,0,8.00E-04,1,374.6986179,0.004307692,0.028338336
42.998436,-83.735838,0.021539054,6450,0,0,0.0575,1,588.0152541,0.013616766,0.028304185
43.023399,-83.736454,0.025931649,6366,6000,6000,0,0,854.9142356,0.000285714,0.028270458
42.989382,-83.769273,0.014426303,6299,0,0,0,0,6039.912999,0,0.028132392
42.987863,-83.666765,0.018026219,6041,5000,5000,0.007173913,1,2148.208307,0.006,0.02804
43.016716,-83.755928,0.022248801,6749,0,0,0,0,4786.543387,0.004,0.02789465
42.994309,-83.657836,0.01297851,6082,11850,11850,0.000214286,1,2226.45297,0.005,0.02788
43.00852,-83.736096,0.023806754,6379,6500,6500,0.0035,1,712.9802569,0.003866667,0.027825487
42.996345,-83.733592,0.023019249,6448,0,0,0.053809524,1,399.3096603,0.016347619,0.02781185
43.003619,-83.737378,0.027410169,6439,28000,28000,0.001333333,1,421.5475186,0.007288889,0.02777952
42.997701,-83.731391,0.024469808,6343,20000,20000,0.005533333,1,992.0207606,0.01165,0.027771905
43.003567,-83.735421,0.023178098,6412,5000,5000,0,1,653.3338068,0.001972973,0.027718535
43.008832,-83.736074,0.023659654,6398,0,0,0.0035,1,695.6071235,0.002781818,0.027680934
43.026872,-83.7341,0.02587242,6386,400,400,0,1,552.6882333,0.018911111,0.027624298
43.017708,-83.746216,0.035913244,6604,57500,57500,4.00E-04,0,2579.747714,0,0.027613186
42.996732,-83.73791,0.034743554,6614,18200,18200,0.00125,1,12.31680691,0.022311321,0.02760157
43.005972,-83.73884,0.027373299,6455,0,0,0,1,330.2159686,0.016131148,0.027595769
43.012025,-83.732483,0.02552159,6365,0,0,0.015432432,1,1611.773647,0.009021053,0.027594284
43.017632,-83.744038,0.067450071,6604,42455,42455,4.00E-04,0,2039.434993,0,0.027532679
43.026252,-83.734816,0.033554555,6446,500,500,5.00E-04,1,272.849975,0.019651163,0.027514521
42.98864,-83.768831,0.020461244,6429,25000,25000,0,0,5770.275826,0,0.027514036
42.999213,-83.737535,0.029409316,6519,0,0,0.003371429,1,144.2621827,0.053978571,0.027506358
42.998631,-83.744981,0.034182429,6516,12607,12607,0,0,1700.496362,0,0.027491372
43.018061,-83.744079,0.068076081,6618,0,0,4.00E-04,0,2114.992409,0,0.02739905
42.999612,-83.727978,0.018757886,6324,13500,13500,0.082583333,1,2076.799614,0.015885057,0.027386739
43.027564,-83.732416,0.022589461,6379,0,0,0.0015,1,950.4523472,0.106041667,0.027377034
42.995274,-83.777772,0.018915769,6744,0,0,0.000333333,0,8471.542109,0,0.027317025
43.026194,-83.775368,0.015031917,6304,75050,75050,0,0,8747.602057,0.002,0.027298927
43.008783,-83.74173,0.035630167,6537,66000,66000,0,0,781.8860002,0.004875,0.027269983
43.00556,-83.73693,0.026988629,6425,17500,17500,0.0386,1,781.5553432,0.006095238,0.02726713
43.004793,-83.739107,0.027781756,6485,10100,10100,0.0075,1,456.0523772,0.016339623,0.027251662
43.000729,-83.738535,0.030103775,6667,6900,6900,0.003,0,103.7048963,0.06747619,0.027239824
43.007735,-83.747395,0.030283608,6561,102423,102423,0,0,1941.739067,0,0.027234764
43.007735,-83.747395,0.030283608,6741,12924,12924,0,0,1941.739067,0,0.027234764
42.998631,-83.744981,0.034030722,6534,0,0,0,0,1700.496362,0,0.027233515
43.027291,-83.732564,0.022437376,6398,36000,36000,0,1,843.382109,0.003347826,0.027230787
43.027291,-83.732564,0.022437376,6398,500,500,0,1,843.382109,0.003347826,0.027230787
43.006291,-83.737074,0.024777809,6453,0,0,0.001055556,1,625.4998187,0.013041667,0.027205734
43.025348,-83.743371,0.645839814,6432,5900,5900,4.941444444,0,860.2024013,2.470777778,0.027197804
42.997528,-83.748272,0.027388604,6618,0,0,0,0,2568.79972,0.024,0.027189786
43.003644,-83.740468,0.028914812,6603,5500,5500,8.00E-04,1,192.5666509,0.004636364,0.027179933
43.003644,-83.740468,0.028914812,6574,0,0,8.00E-04,1,192.5666509,0.004636364,0.027179933
43.004943,-83.732024,0.033835069,6335,10000,10000,4.00E-04,1,1685.999379,0.136182927,0.027157852
43.028154,-83.740822,0.032000889,6337,0,0,0.001583333,1,289.9919019,0.002661017,0.027139341
42.997072,-83.737461,0.026011306,6582,0,0,0.00125,1,136.6988829,0.01780292,0.02709692
42.997906,-83.73717,0.021617743,6631,0,0,0.003190476,1,225.1481641,0.013515723,0.027092142
