Latitude,Longitude,LeadLevel,Month,SalesPrice,LoanAmount,CensusBlock,InService,DistToBoundary
42.990528,-83.725687,0,47,320000,320000,0.015227273,1,1064.374771
42.90687,-83.693427,0.012751832,201,320000,320000,0.00075,0,18722.43304
42.894187,-83.59258,0,76,319000,319000,0.001,0,35949.4228
43.035178,-83.787552,0,80,317500,317500,0,0,12012.36634
43.035178,-83.787552,0,74,317500,317500,0,0,12012.36634
42.93781,-83.582887,0,85,315625,315625,0,0,24862.15794
42.991435,-83.73201,0,90,315000,315000,0.024235955,1,271.0989261
42.89287,-83.597286,0,163,315000,315000,0.001,0,35828.37598
42.899164,-83.598306,0,3,315000,315000,0.001,0,33640.5907
43.03466,-83.787819,0,80,315000,315000,0,0,12078.07673
42.899164,-83.598306,0,137,313651,313651,0.001,0,33640.5907
42.891896,-83.59712,0,89,311000,311000,0.001,0,36169.21085
42.899164,-83.598306,0.014916993,218,310000,310000,0.001,0,33640.5907
42.967648,-83.820829,0,98,310000,310000,0,0,13076.65741
43.034825,-83.791104,0,42,306914,306914,0,0,12957.48768
42.995789,-83.720877,0,193,305000,305000,0.177666667,1,2721.381067
42.894345,-83.598424,0,61,305000,305000,0.001,0,35212.43443
42.944505,-83.586135,0.010289158,205,305000,305000,0,0,22466.16395
43.024926,-83.806433,0,71,305000,305000,0,0,17066.73677
42.905219,-83.638244,0,85,304525,304525,0.006,0,28292.94446
42.944339,-83.586129,0.00972768,206,304445,304445,0,0,22511.41788
42.816298,-83.85941,0,147,303000,303000,0,0,55888.50664
43.035178,-83.787552,0,35,302864,302864,0,0,12012.36634
43.054846,-83.823926,0.01799467,218,302500,302500,0,0,23024.10003
42.916346,-83.714582,0,183,302243,302243,0.069,0,12565.45692
43.083749,-83.604099,0,107,302000,302000,0.000111111,0,8870.170942
42.997011,-83.723717,0,180,3.00E+05,3.00E+05,0.042756098,1,2550.183723
42.993518,-83.721334,0,94,3.00E+05,3.00E+05,0.011368421,1,1889.364787
42.905859,-83.636807,0,79,3.00E+05,3.00E+05,0.006,0,28121.49917
42.984181,-83.708396,0,155,3.00E+05,3.00E+05,0.002,1,1149.050815
42.991216,-83.653382,0,11,3.00E+05,3.00E+05,0.001419355,1,702.8352012
43.01752,-83.802138,0,23,3.00E+05,3.00E+05,0.00125,0,16316.25862
42.888434,-83.593983,0,180,3.00E+05,3.00E+05,0.001,0,37667.62497
42.890974,-83.592589,0,56,3.00E+05,3.00E+05,0.001,0,36994.99102
42.899164,-83.598306,0,113,3.00E+05,3.00E+05,0.001,0,33640.5907
