Latitude,Longitude,LeadLevel,Time,SalesPrice,LoanAmount,CensusBlockLeadMean,InServiceLine,DistToBoundary
42.899164,-83.598306,0,959,375000,375000,0.001,0,33640.5907
43.002584,-83.60082,0,2544,375000,375000,0,0,9146.177144
42.899164,-83.598306,0,2240,372000,372000,0.001,0,33640.5907
43.024165,-83.790377,0,960,371400,371400,0,0,12808.56752
42.893065,-83.592544,0,4053,367361,367361,0.001,0,36318.3963
42.902692,-83.595815,0,811,365000,365000,0.001,0,32801.03213
43.024891,-83.805401,0,1751,360000,360000,0,0,16792.06151
42.937588,-83.583211,0,2572,357665,357665,0,0,24861.46339
43.018504,-83.790397,0,1449,355000,355000,0,0,13182.27863
42.893697,-83.59952,0,2694,353562,353562,0.001,0,35305.31383
43.034934,-83.787818,0,1094,353504,353504,0,0,12080.41522
43.057044,-83.830043,0,2940,351000,351000,0,0,24633.60395
42.988707,-83.731015,0,3536,350000,350000,0.024235955,1,512.3138941
42.889636,-83.592536,0,358,350000,350000,0.001,0,37439.23353
43.085005,-83.837309,0,910,350000,350000,0,0,27947.64368
43.024664,-83.793979,0,2718,350000,350000,0,0,13751.32006
42.889117,-83.595874,0,862,347000,347000,0.001,0,37228.95618
43.028664,-83.802623,0,1512,345200,345200,0,0,16021.60823
42.996129,-83.718802,0,5095,345000,345000,0.0058,1,2868.252551
42.945529,-83.587107,0.015058097,6567,344000,344000,0,0,22016.0449
42.890974,-83.592589,0,5704,342000,342000,0.001,0,36994.99102
42.895262,-83.597166,0,2485,340000,340000,0.001,0,35053.54259
43.085005,-83.837309,0,1149,340000,340000,0,0,27947.64368
43.024958,-83.804837,0,1072,340000,340000,0,0,16640.04871
43.0209,-83.792479,0,3090,340000,340000,0,0,13534.61158
42.937098,-83.58294,0.015294005,6472,338500,338500,0,0,25033.0276
43.084947,-83.817082,0,5391,338000,338000,0,0,22598.11576
42.944707,-83.586148,0.015468732,6405,336160,336160,0,0,22410.14671
42.891977,-83.592618,0,3088,336000,336000,0.001,0,36663.98327
42.944405,-83.586131,0.013924461,6328,334855,334855,0,0,22493.48731
42.998173,-83.668934,0,1879,334800,334800,0.00621875,1,5289.734758
43.03425,-83.790718,0,1331,334122,334122,0,0,12850.7339
43.027099,-83.808055,0.017848599,6605,332000,332000,0,0,17471.65073
43.08738,-83.830882,0,675,329000,329000,0,0,26380.46733
42.888461,-83.594461,0,2064,328500,328500,0.001,0,37604.55091
43.086657,-83.816493,0,3451,327896,327896,0,0,22551.90968
42.893065,-83.592544,0,3205,327788,327788,0.001,0,36318.3963
42.993518,-83.721334,0,244,327500,327500,0.011368421,1,1889.364787
42.938324,-83.583506,0.007184535,6146,325258,325258,0,0,24612.0542
42.989761,-83.727105,0.008885502,6043,325000,325000,0.021617647,1,972.1086786
42.991685,-83.725494,0,276,325000,325000,0.015227273,1,1378.076938
42.894187,-83.59258,0.015269035,6428,325000,325000,0.001,0,35949.4228
42.893697,-83.59952,0,1638,325000,325000,0.001,0,35305.31383
42.938963,-83.585534,0,2578,324300,324300,0,0,24063.11651
42.894574,-83.592587,0,5468,324000,324000,0.001,0,35823.02071
42.895185,-83.600527,0,4999,323128,323128,0.001,0,34700.0692
42.938546,-83.584773,0.015349638,6439,323000,323000,0,0,24316.69969
42.890313,-83.592564,0,930,322500,322500,0.001,0,37214.18033
42.990528,-83.725687,0,1429,320000,320000,0.015227273,1,1064.374771
42.90687,-83.693427,0.012751832,6089,320000,320000,0.00075,0,18722.43304
42.894187,-83.59258,0,2297,319000,319000,0.001,0,35949.4228
43.035178,-83.787552,0,2424,317500,317500,0,0,12012.36634
43.035178,-83.787552,0,2242,317500,317500,0,0,12012.36634
42.93781,-83.582887,0,2570,315625,315625,0,0,24862.15794
42.991435,-83.73201,0,2718,315000,315000,0.024235955,1,271.0989261
42.89287,-83.597286,0,4959,315000,315000,0.001,0,35828.37598
42.899164,-83.598306,0,62,315000,315000,0.001,0,33640.5907
43.03466,-83.787819,0,2422,315000,315000,0,0,12078.07673
42.899164,-83.598306,0,4153,313651,313651,0.001,0,33640.5907
42.891896,-83.59712,0,2680,311000,311000,0.001,0,36169.21085
42.899164,-83.598306,0.014916993,6619,310000,310000,0.001,0,33640.5907
42.967648,-83.820829,0,2982,310000,310000,0,0,13076.65741
43.034825,-83.791104,0,1262,306914,306914,0,0,12957.48768
42.995789,-83.720877,0,5852,305000,305000,0.177666667,1,2721.381067
42.894345,-83.598424,0,1835,305000,305000,0.001,0,35212.43443
42.944505,-83.586135,0.010289158,6237,305000,305000,0,0,22466.16395
43.024926,-83.806433,0,2135,305000,305000,0,0,17066.73677
42.905219,-83.638244,0,2589,304525,304525,0.006,0,28292.94446
42.944339,-83.586129,0.00972768,6245,304445,304445,0,0,22511.41788
42.816298,-83.85941,0,4473,303000,303000,0,0,55888.50664
43.035178,-83.787552,0,1039,302864,302864,0,0,12012.36634
43.054846,-83.823926,0.01799467,6619,302500,302500,0,0,23024.10003
42.916346,-83.714582,0,5546,302243,302243,0.069,0,12565.45692
43.083749,-83.604099,0,3235,302000,302000,0.000111111,0,8870.170942
42.997011,-83.723717,0,5453,3.00E+05,3.00E+05,0.042756098,1,2550.183723
42.993518,-83.721334,0,2849,3.00E+05,3.00E+05,0.011368421,1,1889.364787
42.905859,-83.636807,0,2396,3.00E+05,3.00E+05,0.006,0,28121.49917
42.984181,-83.708396,0,4706,3.00E+05,3.00E+05,0.002,1,1149.050815
42.991216,-83.653382,0,335,3.00E+05,3.00E+05,0.001419355,1,702.8352012
43.01752,-83.802138,0,674,3.00E+05,3.00E+05,0.00125,0,16316.25862
42.888434,-83.593983,0,5454,3.00E+05,3.00E+05,0.001,0,37667.62497
42.890974,-83.592589,0,1682,3.00E+05,3.00E+05,0.001,0,36994.99102
42.899164,-83.598306,0,3431,3.00E+05,3.00E+05,0.001,0,33640.5907
42.814358,-83.85635,0.018484186,6378,3.00E+05,3.00E+05,0,0,56051.36799
42.979487,-83.668391,0,394,3.00E+05,3.00E+05,0,0,899.0870276
42.895185,-83.600527,0,5650,299900,299900,0.001,0,34700.0692
43.040961,-83.807863,0,2535,299782,299782,0,0,17620.64112
42.938546,-83.584773,0,5299,299750,299750,0,0,24316.69969
43.018504,-83.790397,0,1868,299250,299250,0,0,13182.27863
43.035178,-83.787552,0,2691,299000,299000,0,0,12012.36634
42.893697,-83.59952,0,3662,298000,298000,0.001,0,35305.31383
42.991755,-83.729302,0,3264,297379,297379,0.002090909,1,998.2764313
42.991755,-83.729302,0,2907,295000,295000,0.002090909,1,998.2764313
43.019728,-83.799406,0,2488,295000,295000,0,0,15434.07836
43.022245,-83.793568,0,675,295000,295000,0,0,13741.5082
42.894195,-83.597013,0,1318,293500,293500,0.001,0,35422.27001
43.027099,-83.808055,0,1039,293000,293000,0,0,17471.65073
43.040961,-83.807863,0,5173,292500,292500,0,0,17620.64112
42.910282,-83.712789,0,3009,291240,291240,0.00075,0,14717.94078
42.906971,-83.639842,0,1184,290000,290000,0.006,0,27600.73573
42.892218,-83.597189,0,2178,290000,290000,0.001,0,36054.90927
42.894195,-83.597013,0,1358,290000,290000,0.001,0,35422.27001
43.085005,-83.837309,0,113,290000,290000,0,0,27947.64368
43.029193,-83.801606,0,1640,290000,290000,0,0,15755.19744
42.898001,-83.598072,0,1563,289877,289877,0.001,0,34048.96003
42.996841,-83.719348,0,2710,289000,289000,0.0058,1,3121.441332
43.056289,-83.827559,0,3793,288598,288598,0,0,23985.75131
43.03313,-83.790253,0,1693,288066,288066,0,0,12729.26251
42.990405,-83.726709,0,2374,287500,287500,0.021617647,1,1192.481935
42.905219,-83.638244,0,1105,285000,285000,0.006,0,28292.94446
42.902082,-83.594831,0,4628,285000,285000,0.001,0,33121.71372
43.038448,-83.815709,0,1718,285000,285000,0,0,19600.37738
43.029466,-83.805665,0,2445,285000,285000,0,0,16843.34886
43.033565,-83.787803,0,2612,285000,285000,0,0,12071.62713
43.023087,-83.775592,0,2500,285000,285000,0,0,8949.47866
42.902708,-83.595258,0,4770,284000,284000,0.001,0,32866.61995
43.005465,-83.706139,0,2247,282000,282000,0.0168,1,6969.620399
43.056544,-83.828385,0.011315873,6078,282000,282000,0,0,24201.08696
43.032429,-83.790781,0,1714,281300,281300,0,0,12878.73347
43.028664,-83.802623,0,3573,281134,281134,0,0,16021.60823
43.082938,-83.597859,0,5020,280991,280991,0.000111111,0,9864.244172
43.041085,-83.810404,0,77,280500,280500,0,0,18299.34809
42.895262,-83.597166,0,2421,280000,280000,0.001,0,35053.54259
42.906811,-83.700427,0.016012244,6758,280000,280000,0.00075,0,17569.3478
43.148074,-83.803611,0,5708,280000,280000,0,0,32548.51945
42.938211,-83.582996,0,5351,280000,280000,0,0,24732.55031
43.054846,-83.823926,0,2761,280000,280000,0,0,23024.10003
43.038413,-83.816486,0,2295,280000,280000,0,0,19806.3209
43.029193,-83.801606,0,2557,280000,280000,0,0,15755.19744
43.021527,-83.791904,0,2081,280000,280000,0,0,13343.03878
42.929889,-83.727487,0,2149,279900,279900,0,0,6559.734153
42.996808,-83.718392,0.009095426,6196,279000,279000,0.0058,1,3120.055627
43.019269,-83.764966,0,2185,278900,278900,0,0,6694.967571
43.056289,-83.827559,0,2555,277500,277500,0,0,23985.75131
42.888434,-83.593983,0,1683,277000,277000,0.001,0,37667.62497
43.023191,-83.797921,0,1401,277000,277000,0,0,14852.05335
43.069522,-83.819711,0,4132,276500,276500,0,0,22079.04417
43.056041,-83.826727,0,2983,276000,276000,0,0,23768.67302
43.013919,-83.794799,0.017345277,6622,275990,275990,0,0,14804.44902
42.998646,-83.717383,0,4960,275000,275000,0.024235955,1,3800.547489
42.997181,-83.664951,0,2747,275000,275000,0.0077375,1,4249.886585
42.937098,-83.58294,0,4727,275000,275000,0,0,25033.0276
43.084947,-83.817082,0,3888,275000,275000,0,0,22598.11576
43.040961,-83.807863,0,3243,275000,275000,0,0,17620.64112
43.019728,-83.799406,0,835,275000,275000,0,0,15434.07836
43.01783,-83.788401,0,168,275000,275000,0,0,12733.99687
43.056845,-83.608831,0,3577,272676,272676,0,0,3212.896222
42.995789,-83.720877,0.070299794,6605,272500,272500,0.177666667,1,2721.381067
42.967951,-83.583585,0.007115375,6145,272000,272000,0,0,17866.06373
43.018541,-83.766417,0,2138,272000,272000,0,0,7161.693228
42.996841,-83.719348,0,4179,271250,271250,0.0058,1,3121.441332
42.902483,-83.593827,0,3075,271184,271184,0.001,0,33122.46889
43.021087,-83.680453,0.023041861,6642,270000,270000,0.002079545,1,11503.01161
42.899164,-83.598306,0,5755,270000,270000,0.001,0,33640.5907
43.070685,-83.75028,0,1105,270000,270000,0.000857143,0,4508.069256
43.070685,-83.75028,0,1039,270000,270000,0.000857143,0,4508.069256
43.040897,-83.807018,0.017922694,6588,270000,270000,0,0,17393.7643
43.02554,-83.807505,0,189,270000,270000,0,0,17341.22975
43.023877,-83.764172,0,2425,270000,270000,0,0,5903.18295
42.90837,-83.637185,0.014147497,6754,269900,269900,0.006,0,27202.05382
42.905859,-83.636807,0,115,269000,269000,0.006,0,28121.49917
42.940614,-83.578019,0,4329,268544,268544,0,0,24994.66862
42.967406,-83.820762,0,2325,268000,268000,0,0,13058.15415
43.032401,-83.691111,0,5020,267086,267086,0.00015625,1,10694.10264
42.996917,-83.656887,0,5538,266812,266812,0.00125,1,2976.911277
42.939985,-83.57737,0,2555,266500,266500,0,0,25279.946
42.939062,-83.585871,0,2572,265425,265425,0,0,23971.21147
42.981378,-83.70789,0,2653,265256,265256,0.007247059,1,125.5104727
42.908304,-83.639862,0,3452,265000,265000,0.006,0,27118.68448
